text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"Congratulations to one of my favorite poets, Bob Dylan, on a well-deserved Nobel. https://t.co/c9cnANWPCS",FALSE,33677,NA,10/13/2016 16:05,FALSE,NA,7.86599E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS44,11635,FALSE,FALSE,NA,NA
"Now this was fun. Artificial intelligence, space travel—hope you enjoy exploring new frontiers as much as I did. https://t.co/WWBUm5eJ08",FALSE,26889,NA,10/12/2016 17:16,FALSE,NA,7.86254E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,7810,FALSE,FALSE,NA,NA
"On International #DayoftheGirl, we remain committed to providing what we all want for our daughters: a future of limitless possibility.",FALSE,61694,NA,10/11/2016 16:58,FALSE,NA,7.85887E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS44,25221,FALSE,FALSE,NA,NA
"Just like Michelle says, when they go low, we go high. @HillaryClinton went high and showed why she'll be a POTUS for all Americans.",FALSE,100244,NA,10/10/2016 16:06,FALSE,NA,7.85512E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS44,26570,FALSE,FALSE,NA,NA
Voted early today. Make sure you vote too: https://t.co/SUUmUADsHj https://t.co/NMesNhwsaG,FALSE,56283,NA,10/7/2016 21:40,FALSE,NA,7.84509E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS44,16430,FALSE,FALSE,NA,NA
"Hurricane Matthew is as serious as it gets. Listen to local officials, prepare, take care of each other. https://t.co/Vaf8Xubs0s",FALSE,28338,NA,10/6/2016 23:17,FALSE,NA,7.84171E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,10851,FALSE,FALSE,NA,NA
Thank you to every nation that moved to bring the Paris Agreement into force. History will judge today as a turning point for our planet.,FALSE,42190,NA,10/5/2016 20:52,FALSE,NA,7.83772E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,11272,FALSE,FALSE,NA,NA
Bringing a little Austin to the South Lawn today. https://t.co/qCXwVI0uLH https://t.co/nTb10I3GHP,FALSE,16551,NA,10/3/2016 15:49,FALSE,NA,7.82971E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,5477,FALSE,FALSE,NA,NA
What a win by the USA in #RyderCup. Proud to see our guys bring the trophy back home. Arnie is smiling down.,FALSE,20840,NA,10/3/2016 2:00,FALSE,NA,7.82762E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,3937,FALSE,FALSE,NA,NA
"Gandhiji believed in a world worthy of our children. In joining the Paris Agreement, @narendramodi &amp; the Indian people carry on that legacy.",FALSE,38575,NA,10/2/2016 14:54,FALSE,NA,7.82595E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,15537,FALSE,FALSE,NA,NA
Paid leave shouldn't be a luxury. It's a basic necessity that we should secure for every working American. https://t.co/OPeQiVPJlK,FALSE,18043,NA,10/1/2016 14:00,FALSE,NA,7.82219E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,5244,FALSE,FALSE,NA,NA
"Our Olympians and Paralympians show the world that no matter what, with perseverance, we can do incredible things. Proud of you, #TeamUSA.",FALSE,23345,NA,9/29/2016 23:38,FALSE,NA,7.81639E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,4114,FALSE,FALSE,NA,NA
Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,FALSE,97748,NA,9/27/2016 23:04,FALSE,NA,7.80906E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,24733,FALSE,FALSE,NA,NA
Democracy is not a spectator sport. Don't give up your power to shape the future of the country we love. Vote: https://t.co/sUxB8TLc5r,FALSE,35779,NA,9/27/2016 16:39,FALSE,NA,7.80809E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,16601,FALSE,FALSE,NA,NA
"Here's to The King who was as extraordinary on the links as he was generous to others. Thanks for the memories, Arn… https://t.co/r4dLQqt45A",FALSE,51813,NA,9/26/2016 3:14,TRUE,NA,7.80244E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,12028,FALSE,FALSE,NA,NA
Proud to help open @NMAAHC with so many heroes. African American history is a central part of our glorious American history.,FALSE,24649,NA,9/24/2016 14:04,FALSE,NA,7.79683E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,8337,FALSE,FALSE,NA,NA
"Sabaidii, Laos! Honored to be the first U.S. president to visit Laos and to begin a new partnership between our countries.",FALSE,28460,NA,9/6/2016 1:30,FALSE,NA,7.7297E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS44,5947,FALSE,FALSE,NA,NA
"Happy Labor Day - longest streak of job growth ever, unemployment cut in half. That's what hardworking Americans can do. Let's keep going!",FALSE,58336,NA,9/5/2016 16:57,FALSE,NA,7.72841E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",POTUS44,15877,FALSE,FALSE,NA,NA
Congrats to NASA and the scientists taking us a step closer to Mars. Now enjoy Hawaii and get a shave ice! https://t.co/lFZjSnn38x,FALSE,21601,NA,8/29/2016 16:28,FALSE,NA,7.70297E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,5861,FALSE,FALSE,NA,NA
"Congratulations to Maine-Endwell, Little League World Series Champs and still undefeated! Proud of you and the sportsmanship you showed.",FALSE,24690,NA,8/29/2016 0:08,FALSE,NA,7.7005E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,4992,FALSE,FALSE,NA,NA
"Nearly 100 years ago, women broke down barriers to the ballot box, moving us closer to a more equal nation. Let's finish what they started.",FALSE,70616,NA,8/26/2016 16:08,FALSE,NA,7.69205E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,24144,FALSE,FALSE,NA,NA
"100 years and going strong. Thanks @NatlParkService for your service, so our kids enjoy our parks as much as we have https://t.co/1v3W2HLD6f",FALSE,33645,NA,8/25/2016 18:05,FALSE,NA,7.68872E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",POTUS44,7946,FALSE,FALSE,NA,NA
"Felicitaciones, @JuanManSantos and Colombia. After decades of war, we stand with you in building a future of peace. https://t.co/haXJaqgS9f",FALSE,17557,NA,8/25/2016 15:32,FALSE,NA,7.68834E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,9966,FALSE,FALSE,NA,NA
"Couldn't be prouder of #TeamUSA. Your determination and passion inspired so many of us. You carried that flag high tonight, @Simone_Biles!",FALSE,77429,NA,8/22/2016 1:07,FALSE,NA,7.67529E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,17071,FALSE,FALSE,NA,NA
Final win for Phelps. World record for Ledecky. 3 #1 finishes for Biles. That's how #TeamUSA gets America to 1000 golds-way to make history.,FALSE,73314,NA,8/14/2016 23:06,FALSE,NA,7.64961E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,16005,FALSE,FALSE,NA,NA
"Been waiting to drop this: summer playlist, the encore. What's everybody listening to? https://t.co/mqh1YVrycj",FALSE,248407,NA,8/11/2016 14:31,FALSE,NA,7.63745E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,118380,FALSE,FALSE,NA,NA
The struggle for the Voting Rights Act taught us that people who love this country can change it. Don't give away your power - go vote.,FALSE,49117,NA,8/6/2016 20:59,FALSE,NA,7.6203E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,19414,FALSE,FALSE,NA,NA
"Tonight, the first-ever #TeamRefugees will also stand before the world and prove that you can succeed no matter where you're from.",FALSE,42605,POTUS44,8/5/2016 23:22,FALSE,7.61704E+17,7.61704E+17,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,15206,FALSE,FALSE,NA,NA
Ready to root on #TeamUSA! Our team's unity and diversity makes us so proud - and reminds the world why America sets the gold standard.,FALSE,42277,NA,8/5/2016 23:21,FALSE,NA,7.61704E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,10692,FALSE,FALSE,NA,NA
"Longest streak of total job growth on record, wages rising at fastest pace in 7 years. We've come a long way, America—let's keep it going.",FALSE,45125,NA,8/5/2016 19:11,FALSE,NA,7.61641E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,12743,FALSE,FALSE,NA,NA
"Great speech. She's tested. She's ready. She never quits. That's why Hillary should be our next @POTUS. (She'll get the Twitter handle, too)",FALSE,187635,NA,7/29/2016 3:30,FALSE,NA,7.58867E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,62055,FALSE,FALSE,NA,NA
"Incredible speech by an incredible woman. Couldn't be more proud &amp; our country has been blessed to have her as FLOTUS. I love you, Michelle.",FALSE,554538,NA,7/26/2016 2:25,FALSE,NA,7.57764E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,173034,FALSE,FALSE,NA,NA
"¡Bienvenido, amigo! We value our enduring partnership with Mexico &amp; will work to strengthen it in the years to come. https://t.co/mjlABSm7jF",FALSE,16912,NA,7/22/2016 19:17,FALSE,NA,7.56569E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,4511,FALSE,FALSE,NA,NA
"This map says it all. Stay safe as it heats up: Drink water, stay out of the sun, and check on your neighbors. https://t.co/c1qFTmq2IV",FALSE,34199,NA,7/20/2016 16:36,FALSE,NA,7.55804E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,15753,FALSE,FALSE,NA,NA
44 men came home because Chuck Kettles believed that we leave no man behind. That's America at our best. https://t.co/UymO2AaRHg,FALSE,14514,NA,7/18/2016 14:15,FALSE,NA,7.55043E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,3757,FALSE,FALSE,NA,NA
"Congrats Carla Hayden, our newest Librarian of Congress! Her confirmation is certainly one for the history books.
https://t.co/5T8rvSRp9e",FALSE,21461,NA,7/14/2016 1:38,FALSE,NA,7.53403E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,7016,FALSE,FALSE,NA,NA
"Incredible! After a 5-year journey, we're up close and personal with our solar system's largest planet. Welcome to Jupiter, @NASAJuno!",FALSE,40900,NA,7/5/2016 17:21,FALSE,NA,7.50379E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,10347,FALSE,FALSE,NA,NA
"Happy Fourth of July, everybody! And to our brave men and women in uniform: On this day and every day, we thank you.",FALSE,51699,NA,7/4/2016 14:00,FALSE,NA,7.49966E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,17741,FALSE,FALSE,NA,NA
Elie Wiesel was a great moral voice of our time and a conscience for our world. He was also a dear friend. We will miss him deeply.,FALSE,54111,NA,7/2/2016 23:06,FALSE,NA,7.49379E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,19321,FALSE,FALSE,NA,NA
"The list goes on. When Members return, I hope they'll share my commitment to work together to do what must be done. https://t.co/l8nChcXpml",FALSE,8790,POTUS44,6/30/2016 20:58,FALSE,7.48621E+17,7.48622E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,3954,FALSE,FALSE,NA,NA
Americans still need and are asking Congress to pass commonsense gun laws that strengthen background checks and keep our communities safe.,FALSE,8696,POTUS44,6/30/2016 20:56,FALSE,7.48621E+17,7.48621E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,2868,FALSE,FALSE,NA,NA
"After more than 100 days, the Supreme Court still needs its 9th judge, but the Senate GOP refuses to do its job and consider Judge Garland.",FALSE,6787,POTUS44,6/30/2016 20:55,FALSE,7.48621E+17,7.48621E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,3187,FALSE,FALSE,NA,NA
Congress is leaving a hefty to-do list undone. Health officials still need emergency funding to effectively protect Americans from Zika.,FALSE,3796,POTUS44,6/30/2016 20:53,FALSE,7.4862E+17,7.48621E+17,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,1490,FALSE,FALSE,NA,NA
Proud to sign laws to improve transparency and avert a crisis in Puerto Rico. I'd hoped to use my pen more often before Congress left town.,FALSE,14534,NA,6/30/2016 20:53,FALSE,NA,7.4862E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,3328,FALSE,FALSE,NA,NA
"Until next time, Justin. Good to know that Canada and the world will benefit from your leadership for years to come. https://t.co/T10g64niul",FALSE,30724,NA,6/30/2016 15:38,FALSE,NA,7.48541E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,8483,FALSE,FALSE,NA,NA
